MOUSE_GENE_SYM	HUMAN_GENE_SYM
Sardh	SARDH
Sobp	SOBP
Snora34	SNORA2C
Aadacl3	AADACL3
Mark3	MARK3
Adpgk	ADPGK
Hspa12a	HSPA12A
Man2b1	MAN2B1
Herc4	HERC4
Cd2ap	CD2AP
Degs2	DEGS2
Rassf6	RASSF6
Gm25784	RNU6-975P
Ifitm10	IFITM10
Cyp1b1	CYP1B1
Lclat1	LCLAT1
Fbxl15	FBXL15
Gm23655	RNU6-1136P
Spef2	SPEF2
Olfr568	OR51F2
Tmem185a	TMEM185A
Aqp8	AQP8
Car13	CA13
Camk2a	CAMK2A
Wee1	WEE1
C1qtnf3	C1QTNF3-AMACR
Tbc1d13	TBC1D13
Traip	TRAIP
Higd1c	HIGD1C
Vps26a	VPS26A
Ube2w	UBE2W
Syce1	SYCE1
Cfap77	CFAP77
Sbk1	SBK1
Tmem213	TMEM213
Nadk	NADK
Eif4ebp3	EIF4EBP3
Gm45623	SMIM32
1700093K21Rik	C2orf74
1700015G11Rik	CCDC179
1110004F10Rik	C11orf58
Cpa1	CPA1
Etfbkmt	ETFBKMT
Hif1an	HIF1AN
Mir203	MIR203B
Kifc5b	KIFC1
Stpg4	STPG4
Cped1	CPED1
Abl1	ABL1
C330018D20Rik	C5orf63
Krt2	KRT2
Il17a	IL17A
Art3	ART3
Phyhd1	PHYHD1
Ilvbl	ILVBL
Dctd	DCTD
Eid2	EID2
Krt8	KRT8
Tjap1	TJAP1
C8g	C8G
Slc35b2	SLC35B2
Lrrc36	LRRC36
Igf1r	IGF1R
Cog7	COG7
Hes5	HES5
Qrfp	QRFP
Nrf1	NRF1
Clec7a	CLEC7A
Nxf3	NXF3
Slitrk2	SLITRK2
Gpx1	GPX1
Allc	ALLC
Rps12	RPS12
Vstm2b	VSTM2B
Pkm	PKM
Rhox13	RHOXF1
Plod3	PLOD3
C7	C7
Pigyl	PIGY
Rgs10	RGS10
Pum2	PUM2
Mt3	MT3
Fam71d	FAM71D
Nccrp1	NCCRP1
Septin1	SEPTIN1
Lyve1	LYVE1
Shoc2	SHOC2
Osr1	OSR1
Snx2	SNX2
Sema3e	SEMA3E
Moxd1	MOXD1
Ncapd2	NCAPD2
Mir199a-1	MIR199A1
Lemd2	LEMD2
Pbdc1	PBDC1
Zswim8	ZSWIM8
Nrxn1	NRXN1
Zmat1	ZMAT1
Ptafr	PTAFR
Glud1	GLUD2
Nkrf	NKRF
Mbnl3	MBNL3
Il16	IL16
Slc8a1	SLC8A1
Gm25968	RNU6-485P
Zfp688	ZNF688
Tm9sf3	TM9SF3
Rbis	RBIS
Clec5a	CLEC5A
Slc25a22	SLC25A22
Kcnq3	KCNQ3
Ptpn23	PTPN23
Soat2	SOAT2
Elp4	ELP4
Med30	MED30
Pdpr	PDPR
Ush1c	USH1C
Impa1	IMPA1
Dmbt1	DMBT1
Ccdc125	CCDC125
Wdcp	WDCP
Nlrp6	NLRP6
Srsf3	SRSF3
Enox2	ENOX2
Rab33b	RAB33B
Rps7	RPS7
Cpne2	CPNE2
Dpy19l2	DPY19L2
Arhgap9	ARHGAP9
Pcp2	PCP2
Sgtb	SGTB
Ogg1	OGG1
Fam98c	FAM98C
Foxp2	FOXP2
Ndufs4	NDUFS4
Paqr5	PAQR5
Rfwd3	RFWD3
Celf1	CELF1
Puf60	PUF60
Tmprss12	TMPRSS12
Gar1	GAR1
Slc25a25	SLC25A25
Asb3	ASB3
Pycrl	PYCR3
Siva1	SIVA1
Adh5	ADH5
Gm24461	RNU6-1079P
Ap3s1	AP3S1
Ptger4	PTGER4
Slc25a5	SLC25A5
Snord67	SNORD67
Ifnlr1	IFNLR1
Slc9b2	SLC9B2
Fut7	FUT7
Wwp1	WWP1
Arc	ARC
Sumf1	SUMF1
Lpar5	LPAR5
Poc5	POC5
Havcr2	HAVCR2
Zc3h3	ZC3H3
Tomm6	TOMM6
Gm23002	RNU6-211P
Kcnk9	KCNK9
Elp6	ELP6
Scn8a	SCN8A
Prrc2b	PRRC2B
Miga2	MIGA2
Dach2	DACH2
Atxn7l1	ATXN7L1
Ddx11	DDX11
Stpg1	STPG1
Mmp15	MMP15
Wwc2	WWC2
Pla2g2c	PLA2G2C
Mrpl33	MRPL33
Megf10	MEGF10
Fam160a2	FAM160A2
Bex4	BEX4
Fubp3	FUBP3
Pdp1	PDP1
Ppid	PPID
Kirrel2	KIRREL2
Klhdc7a	KLHDC7A
Olfr1260	OR4C5
Gm7324	RBMX
Gm22766	RNU6-1226P
Arhgef10l	ARHGEF10L
Rnf208	RNF208
Krtdap	KRTDAP
Galc	GALC
Cdk11b	CDK11B
Habp2	HABP2
Cspg5	CSPG5
Ndrg1	NDRG1
Drc7	DRC7
Tapbp	TAPBP
Man1c1	MAN1C1
Dnm1	DNM1
Ythdc1	YTHDC1
Tmem131l	TMEM131L
Parp12	PARP12
Lrrc10	LRRC10
Lcmt1	LCMT1
Cep41	CEP41
Lat2	LAT2
Mansc4	MANSC4
Wdr6	WDR6
Nrxn3	NRXN3
Xpo6	XPO6
Pde6a	PDE6A
Slc25a53	SLC25A53
Nrip3	NRIP3
Evl	EVL
Olfr354	OR1N2
Dnph1	DNPH1
Iffo2	IFFO2
Grhl2	GRHL2
Sntb1	SNTB1
Naaa	NAAA
Slc16a2	SLC16A2
Ighm	IGHM
Msmo1	MSMO1
G6pd2	G6PD
Tex13a	TEX13B
Ccna2	CCNA2
Ptpre	PTPRE
Fcnb	FCN1
Trappc9	TRAPPC9
Megf8	MEGF8
Gm11992	C7orf57
Eml5	EML5
Trim55	TRIM55
Mnd1	MND1
Mars1	MARS1
Zfp385a	ZNF385A
Trmt1	TRMT1
Elovl3	ELOVL3
Adamts12	ADAMTS12
Litaf	LITAF
Pycard	PYCARD
Fam187b	FAM187B
Garem2	GAREM2
Sgk1	SGK1
Mtmr1	MTMR1
Bcl2l14	BCL2L14
Sptlc2	SPTLC2
Ldhal6b	LDHAL6B
Angel1	ANGEL1
Lrrc69	LRRC69
Gm26022	RNU6-883P
Gm26108	RNU2-14P
Gm26420	RNU6-967P
Traf2	TRAF2
Rbm22	RBM22
Lcn8	LCN8
Ankrd2	ANKRD2
Agbl5	AGBL5
Tnfsf9	TNFSF9
Sra1	SRA1
Cmtm6	CMTM6
Bst2	BST2
Islr2	ISLR2
Sec61g	SEC61G
Keap1	KEAP1
1700029I15Rik	C11orf94
Cdh9	CDH9
Eef1a1	EEF1A1
Car12	CA12
Lin28b	LIN28B
Pet100	PET100
Crtc1	CRTC1
Gen1	GEN1
Megf11	MEGF11
Fbxo22	FBXO22
Kcnn1	KCNN1
Fam83a	FAM83A
Xylt1	XYLT1
Drosha	DROSHA
Xcr1	XCR1
Gem	GEM
Eif3k	EIF3K
Art5	ART5
Vopp1	VOPP1
Apeh	APEH
Cenpn	CENPN
Cidec	CIDEC
Fabp9	FABP9
Sgk3	C8orf44-SGK3
Nup62cl	NUP62CL
Bud31	BUD31
Tyw1	TYW1
Lrrfip2	LRRFIP2
Pdia6	PDIA6
Mospd3	MOSPD3
Pank1	PANK1
Clcn6	CLCN6
Lrp12	LRP12
Drd4	DRD4
Xpo1	XPO1
Rab39b	RAB39B
Kcnq1	KCNQ1
Trnt1	TRNT1
Slc4a8	SLC4A8
Mpv17l	MPV17L
Lima1	LIMA1
Enpep	ENPEP
Pp2d1	PP2D1
Adgre1	ADGRE1
Slc5a6	SLC5A6
Pm20d2	PM20D2
Sema3c	SEMA3C
Vdac2	VDAC2
Sowaha	SOWAHA
Kif6	KIF6
Ly6g6c	LY6G6C
Hnrnpul1	HNRNPUL1
Lrrc28	LRRC28
Grina	GRINA
Nyap1	NYAP1
Ptpn6	PTPN6
Gm24707	RNU6-1005P
Bmt2	BMT2
Oxtr	OXTR
BC005624	C9orf78
Thumpd3	THUMPD3
Zfp790	ZNF420
Sparc	SPARC
Trmt61a	TRMT61A
Safb2	SAFB2
Pdik1l	PDIK1L
Mir322	MIR424
Tm6sf1	TM6SF1
Prkrip1	PRKRIP1
F2rl1	F2RL1
Tnfrsf14	TNFRSF14
Arrdc3	ARRDC3
Radx	RADX
Lynx1	LYNX1
Cyp27b1	CYP27B1
Il12b	IL12B
Atp11c	ATP11C
H2az1	H2AZ1
Sh3d19	SH3D19
Zdhhc1	ZDHHC1
Lrit3	LRIT3
Dock11	DOCK11
Tmem144	TMEM144
Gm24805	RNU6-1023P
Xrcc3	XRCC3
Brd7	BRD7
Zfp318	ZNF318
Mtbp	MTBP
Lbh	LBH
Ndufa1	NDUFA1
Cnot4	CNOT4
Gmeb1	GMEB1
Kif1b	KIF1B
Dpp7	DPP7
Th	TH
Bicc1	BICC1
Fuom	FUOM
Zfp668	ZNF668
Frs3	FRS3
Gm25879	RNU6-853P
Cdc23	CDC23
Myc	MYC
Cnr1	CNR1
Vstm2a	VSTM2A
Alkbh1	ALKBH1
Nagpa	NAGPA
Ercc8	ERCC8
Cabs1	CABS1
Nr2f1	NR2F1
Zdhhc3	ZDHHC3
Arsi	ARSI
Padi2	PADI2
Larp7	LARP7
Marcks	MARCKS
Azgp1	AZGP1
Olfr547	OR52B4
Mtch2	MTCH2
Itgal	ITGAL
Eid2b	EID2B
Gm24260	RNU6-3P
Fgf5	FGF5
Sfrp5	SFRP5
Adrb2	ADRB2
Twnk	TWNK
Gm22229	RNU6-527P
Cox7c	COX7C
Ssna1	SSNA1
Wdr83	WDR83
Tbx6	TBX6
Il17f	IL17F
P4ha2	P4HA2
Tmed7	TMED7
Gstcd	GSTCD
Tspan32	TSPAN32
Haus7	HAUS7
Fbxo17	FBXO17
Wnk3	WNK3
1700012P22Rik	C1orf158
Mst1	MST1
Ankrd22	ANKRD22
Celsr3	CELSR3
Acot7	ACOT7
Mrps24	MRPS24
Dnah8	DNAH8
Sypl	SYPL1
Gm22381	RNU6-1153P
Mfge8	MFGE8
Dennd3	DENND3
Rep15	REP15
Draxin	DRAXIN
Skp2	SKP2
Samd4b	SAMD4B
Mkrn1	MKRN1
Selenos	SELENOS
Nr0b2	NR0B2
Macroh2a1	MACROH2A1
Btbd1	BTBD1
Adam21	ADAM21
Tnpo2	TNPO2
Wdr83os	WDR83OS
Setd5	SETD5
Asxl2	ASXL2
Tatdn1	TATDN1
Fsbp	FSBP
Atf6b	ATF6B
Thap11	THAP11
Far2	FAR2
Lipf	LIPF
Mir9-2	MIR9-2
Ccnt1	CCNT1
Exd2	EXD2
Fanci	FANCI
Gtf3c6	GTF3C6
Tmem91	TMEM91
Samd8	SAMD8
Kif15	KIF15
Akr7a5	AKR7L
Dele1	DELE1
Myoz1	MYOZ1
Man2a2	MAN2A2
Olfr68	OR52A5
Gm23727	RNU1-8P
Lratd2	LRATD2
Nkd1	NKD1
Sult1e1	SULT1E1
C3ar1	C3AR1
Carhsp1	CARHSP1
Hnrnpr	HNRNPR
Htr7	HTR7
Lrfn2	LRFN2
Mir146b	MIR146B
Pgc	PGC
Ctxn3	CTXN3
Nr2c2	NR2C2
Fgd1	FGD1
Zbed3	ZBED3
Plrg1	PLRG1
Adgrv1	ADGRV1
Trpa1	TRPA1
Cav3	CAV3
Tceal9	TCEAL9
Trim24	TRIM24
Kcnk18	KCNK18
Mir302c	MIR302C
Cd27	CD27
Calca	CALCA
Slc36a1	SLC36A1
Reep2	REEP2
Gm24564	SNORD113-3
Hspb6	HSPB6
C2	C2
Gm22301	RNU6-132P
Ube2j1	UBE2J1
Usp53	USP53
Mir154	MIR154
Tmem14a	TMEM14A
Trip6	TRIP6
Prrx2	PRRX2
Cacna1b	CACNA1B
Immp2l	IMMP2L
Klhl25	KLHL25
Kif9	KIF9
Luc7l2	LUC7L2
Kmt2b	KMT2B
Ccno	CCNO
Cars	CARS1
Hoxc5	HOXC5
Mir770	MIR770
Myo9b	MYO9B
Smlr1	SMLR1
Rtn4ip1	RTN4IP1
Olfr1256	OR4A47
Zfp609	ZNF609
Mir148b	MIR148B
Brix1	BRIX1
Krt5	KRT5
Gabra6	GABRA6
Il27ra	IL27RA
Serpina5	SERPINA5
Tubb5	TUBB
Irs4	IRS4
Sox11	SOX11
Gtf2a2	GTF2A2
Pla2g2e	PLA2G2E
Selenop	SELENOP
Susd5	SUSD5
Crisp4	CRISP1
Lrrk2	LRRK2
Borcs8	BORCS8
Areg	AREG
Spc24	SPC24
Park7	PARK7
Exosc5	EXOSC5
Hsf2	HSF2
Akap8l	AKAP8L
Grip2	GRIP2
Tfam	TFAM
Gm24150	RNU6-867P
Mrpl34	MRPL34
Camk2b	CAMK2B
Pom121	POM121
Zbtb17	ZBTB17
Snord100	SNORD100
Cox8b	COX8C
Xpo5	XPO5
Stom	STOM
Sh2d3c	SH2D3C
Kank2	KANK2
Fam102a	FAM102A
Gm26017	RNU6-1121P
Rufy2	RUFY2
Gm22749	RNU6-517P
Hs3st2	HS3ST2
Slc10a5	SLC10A5
Zdhhc18	ZDHHC18
Lrrn3	LRRN3
Pdcd2l	PDCD2L
Mir199b	MIR199B
Taf1c	TAF1C
Trem2	TREM2
Tmem168	TMEM168
Dexi	DEXI
Smpd3	SMPD3
Rps28	RPS28
P2ry4	P2RY4
Vrk2	VRK2
Me1	ME1
Grip1	GRIP1
Elf4	ELF4
Tpo	TPO
Tbrg4	TBRG4
Clec9a	CLEC9A
Adssl1	ADSS1
Nrg2	NRG2
Klhl38	KLHL38
Iqch	IQCH
Lgi1	LGI1
Apob	APOB
Ccnjl	CCNJL
Rhebl1	RHEBL1
Lrp6	LRP6
Rimklb	RIMKLB
Mafa	MAFA
Dync1li2	DYNC1LI2
Cald1	CALD1
Atp6v0d2	ATP6V0D2
Il7	IL7
Wnt1	WNT1
Ilf3	ILF3
Vav2	VAV2
Limk1	LIMK1
Slc34a3	SLC34A3
Stox1	STOX1
Heph	HEPH
Plekhg6	PLEKHG6
Krt7	KRT7
Pdss2	PDSS2
Apln	APLN
Rasgrf2	RASGRF2
Gm23738	RNU1-18P
Mir410	MIR410
Col4a6	COL4A6
Fam110c	FAM110C
Cpne3	CPNE3
Luzp2	LUZP2
Palld	PALLD
Eps15l1	EPS15L1
Gpc3	GPC3
Haus8	HAUS8
Ncald	NCALD
Sdhb	SDHB
Eya1	EYA1
Lrp3	LRP3
Klc4	KLC4
Ube2d1	UBE2D1
Racgap1	RACGAP1
Opn1mw	OPN1LW
Nkx6-1	NKX6-1
Apobec1	APOBEC1
Ptpn21	PTPN21
Rergl	RERGL
Plp1	PLP1
Oxct1	OXCT1
Mir96	MIR96
Tor1a	TOR1A
Shisa5	SHISA5
Lsm3	LSM3
Cipc	CIPC
Cyp26c1	CYP26C1
Mir181c	MIR181C
Ago2	AGO2
Tmem179	TMEM179
Lgals9	LGALS13
Jade2	JADE2
Tigar	TIGAR
Stard4	STARD4
Chst15	CHST15
Mmrn1	MMRN1
Lyrm7	LYRM7
Arsb	ARSB
Ajm1	AJM1
Sdc2	SDC2
Cmip	CMIP
Unc5cl	UNC5CL
Mdga1	MDGA1
Dtwd2	DTWD2
Plekhf2	PLEKHF2
Rbm12b1	RBM12B
Sbds	SBDS
Cops7a	COPS7A
Dpp9	DPP9
Mosmo	MOSMO
Nptn	NPTN
Supt5	SUPT5H
Rcan2	RCAN2
Ttc9b	TTC9B
Ptp4a3	PTP4A3
Slc5a11	SLC5A11
Cfdp1	CFDP1
Gsc	GSC
H2-DMa	HLA-DMA
Psmd8	PSMD8
Anxa11	ANXA11
Gpx2	GPX2
Ighv16-1	IGHV3-7
Dmrtc2	DMRTC2
Mettl14	METTL14
Abcd1	ABCD1
Tdo2	TDO2
Cyp2f2	CYP2F1
Gsto2	GSTO2
Rec114	REC114
Rbks	RBKS
Rfx6	RFX6
Atp2b2	ATP2B2
Atoh1	ATOH1
Sgce	SGCE
Nckipsd	NCKIPSD
H2-Eb2	HLA-DRB5
Fat1	FAT1
Fbl	FBL
Cpne9	CPNE9
Bcl7c	BCL7C
Fabp12	FABP12
Ppt2	PPT2
3110040N11Rik	C15orf40
Ide	IDE
Spink13	SPINK13
Rab19	RAB19
Olfr66	OR51B4
Rgmb	RGMB
Odf3l1	ODF3L1
Fut8	FUT8
Trim44	TRIM44
Paip1	PAIP1
Grik5	GRIK5
Myt1l	MYT1L
Tmem38a	TMEM38A
Nek10	NEK10
Tro	TRO
Chrna3	CHRNA3
Rxfp1	RXFP1
Ndfip1	NDFIP1
Ankrd31	ANKRD31
Helt	HELT
Slc7a6os	SLC7A6OS
Golga5	GOLGA5
Hmgcr	HMGCR
Pnrc1	PNRC1
Efhc1	EFHC1
Sars2	SARS2
Gm22021	RNU6-837P
Lvrn	LVRN
Moap1	MOAP1
Rpl32	RPL32
Mylk3	MYLK3
Gtf2f1	GTF2F1
Ptprz1	PTPRZ1
Fnbp1	FNBP1
Emp1	EMP1
Eif2s1	EIF2S1
Scoc	SCOC
Hgf	HGF
Epb41l2	EPB41L2
Lrrc6	LRRC6
Atp6v0d1	ATP6V0D1
Tssk1	TSSK1B
4931428F04Rik	KIAA0895L
Pkd1l1	PKD1L1
Pa2g4	PA2G4
Opn1sw	OPN1SW
Cdkn2aipnl	CDKN2AIPNL
Pkn1	PKN1
Mir484	MIR484
Aifm1	AIFM1
Bco1	BCO1
Jchain	JCHAIN
Col1a2	COL1A2
2300002M23Rik	C6orf15
Kcna6	KCNA6
Aunip	AUNIP
Ppp2r5c	PPP2R5C
Muc6	MUC6
Ankrd52	ANKRD52
Asap2	ASAP2
Plk2	PLK2
Pced1b	PCED1B
Qsox2	QSOX2
Cmtm8	CMTM8
Krt80	KRT80
Snord37	SNORD37
Tmem80	TMEM80
Mfsd4b5	MFSD4B
Ap4m1	AP4M1
Fam76a	FAM76A
Ctnna3	CTNNA3
Pip4p2	PIP4P2
Abcd2	ABCD2
Pkhd1	PKHD1
Pde3a	PDE3A
1700029J07Rik	C4orf47
Spata5	SPATA5
Slc39a7	SLC39A7
Rtl9	RTL9
Ubn2	UBN2
Sntg2	SNTG2
Cmc1	CMC1
Zfp426	ZNF426
Tsc1	TSC1
Slc25a48	SLC25A48
Lamb1	LAMB1
Treml1	TREML1
Mast3	MAST3
Garnl3	GARNL3
Ptpn13	PTPN13
Ciz1	CIZ1
Ell2	ELL2
Tgfbr2	TGFBR2
Chic1	CHIC1
Kcnk5	KCNK5
Plekhg2	PLEKHG2
Smarca1	SMARCA1
Cxcl5	CXCL6
Kif17	KIF17
Slc30a6	SLC30A6
Gm23510	RNU1-77P
Slc2a12	SLC2A12
Myl3	MYL3
Mtm1	MTM1
Zfp592	ZNF592
Nlrc4	NLRC4
Pnpla7	PNPLA7
Smim1	SMIM1
Cort	CORT
Adcy1	ADCY1
Mad2l1bp	MAD2L1BP
Cracr2a	CRACR2A
Trim56	TRIM56
Dnajc5b	DNAJC5B
Cyp39a1	CYP39A1
Ypel5	YPEL5
Vav1	VAV1
Arap3	ARAP3
Lin37	LIN37
Lrp4	LRP4
Iqsec2	IQSEC2
Ppp1r18	PPP1R18
Herc6	HERC6
Exosc2	EXOSC2
Myo1f	MYO1F
Tc2n	TC2N
Nup210	NUP210
Mfap3l	MFAP3L
Ucn	UCN
Trpc5	TRPC5
Cilp2	CILP2
2310057M21Rik	C10orf88
Pcdhgb4	PCDHGB4
Las1l	LAS1L
Gm24319	RNU6-173P
Foxn3	FOXN3
Nupr1	NUPR1
Paip2	PAIP2
Stox2	STOX2
Elavl3	ELAVL3
Cttnbp2	CTTNBP2
Oit3	OIT3
Heatr3	HEATR3
Grid2	GRID2
Muc3a	MUC3A
Unc79	UNC79
Dnajc24	DNAJC24
Irf2bpl	IRF2BPL
Zfp36l2	ZFP36L2
Harbi1	HARBI1
Ppa2	PPA2
Sh3gl1	SH3GL1
Trub1	TRUB1
Impdh2	IMPDH2
Znhit1	ZNHIT1
Pllp	PLLP
Ly6g5b	LY6G5B
Gm34653	B3GNT10
Calb2	CALB2
Cox14	COX14
Gpm6a	GPM6A
Avpi1	AVPI1
Tmppe	TMPPE
Tmem247	TMEM247
Kcna1	KCNA1
Ankhd1	ANKHD1
Zhx2	ZHX2
Mcts1	MCTS1
Ascl2	ASCL2
Rgl2	RGL2
Psma4	PSMA4
Aff4	AFF4
Armcx4	ARMCX4
Ap3b2	AP3B2
Kcns2	KCNS2
Aldh8a1	ALDH8A1
Clec1a	CLEC1A
Mtcp1	MTCP1
Slc11a2	SLC11A2
Trex2	TREX2
Mlycd	MLYCD
Tsr2	TSR2
Slc12a4	SLC12A4
Rragb	RRAGB
Ythdf2	YTHDF2
Ptpmt1	PTPMT1
Kmt2e	KMT2E
Tmem88b	TMEM88B
Klhl29	KLHL29
Mir346	MIR346
Plekhs1	PLEKHS1
Pgk1	PGK1
Mettl24	METTL24
Mir25	MIR25
Gm23955	RNU6-756P
Tnfrsf25	TNFRSF25
Drp2	DRP2
Top2b	TOP2B
Nrbf2	NRBF2
Snora23	SNORA23
Ptn	PTN
Olfr13	OR2A4
Prdm2	PRDM2
Foxo4	FOXO4
Anapc10	ANAPC10
Tfr2	TFR2
Trim2	TRIM2
Rdh8	RDH8
Osmr	OSMR
Prpf40b	PRPF40B
Snx20	SNX20
Inka1	INKA1
Rbms2	RBMS2
Zfp558	ZNF557
Itgam	ITGAM
Hip1	HIP1
Armcx1	ARMCX1
Arrdc4	ARRDC4
Misp3	MISP3
Nell2	NELL2
Pik3ap1	PIK3AP1
Ccser1	CCSER1
Rbm18	RBM18
Lrba	LRBA
Galnt18	GALNT18
Snord73a	SNORD73A
Supv3l1	SUPV3L1
Magee1	MAGEE1
Slco5a1	SLCO5A1
Col13a1	COL13A1
Sparcl1	SPARCL1
Sec24b	SEC24B
Parp6	PARP6
Eln	ELN
Usp48	USP48
Enpp4	ENPP4
Tcf7	TCF7
Ykt6	YKT6
Etnppl	ETNPPL
Ptpru	PTPRU
Dync1i1	DYNC1I1
Mettl9	METTL9
Fat4	FAT4
Pnck	PNCK
Hhipl1	HHIPL1
Mfsd13a	MFSD13A
Nek9	NEK9
Rictor	RICTOR
Rnf133	RNF133
Zhx1	ZHX1
Gcnt3	GCNT3
Plekhg4	PLEKHG4
Pik3c2a	PIK3C2A
Prdm1	PRDM1
Gm2115	CTXND1
Tmem71	TMEM71
Mib2	MIB2
Wnt7a	WNT7A
Reep3	REEP3
Mon2	MON2
Fer1l6	FER1L6
Cpeb1	CPEB1
Nup93	NUP93
Dhx30	DHX30
Peak1	PEAK1
Lrrc8e	LRRC8E
Ltbp1	LTBP1
Nolc1	NOLC1
Ccni	CCNI
Dscc1	DSCC1
Steap2	STEAP2
Tifa	TIFA
Myod1	MYOD1
Fstl4	FSTL4
Rtl3	RTL3
Ushbp1	USHBP1
Gngt1	GNGT1
Dspp	DSPP
Gm23737	RNU1-67P
Tnfrsf9	TNFRSF9
Dctn2	DCTN2
Cel	CEL
Cpsf2	CPSF2
Idh3a	IDH3A
Nbl1	NBL1
Cope	COPE
Lcn9	LCN9
Spred3	SPRED3
Nphs1	NPHS1
C1qtnf2	C1QTNF2
Paxx	PAXX
Sergef	SERGEF
Gm23622	RNU6-923P
Wnt8a	WNT8A
Fat2	FAT2
Rex1bd	REX1BD
Btk	BTK
Vps50	VPS50
Amot	AMOT
Cwf19l1	CWF19L1
Rbsn	RBSN
Ccdc160	CCDC160
Cbfb	CBFB
Asb8	ASB8
Dld	DLD
Marchf3	MARCHF3
Thrb	THRB
Hoxc10	HOXC10
Stag3	STAG3
Olfr350	OR1J4
Foxp4	FOXP4
Tfcp2	TFCP2
Dnaaf1	DNAAF1
Col9a1	COL9A1
Acsl4	ACSL4
Serinc5	SERINC5
Rab3d	RAB3D
Gtf2h4	GTF2H4
Ednra	EDNRA
Cry2	CRY2
Gm26226	RNU6-1028P
Atp5mpl	ATP5MPL
Mkrn2os	MKRN2OS
Tmem40	TMEM40
Decr1	DECR1
Hps6	HPS6
Spsb1	SPSB1
Usp38	USP38
Best3	BEST3
Zfp275	ZNF517
Tram1l1	TRAM1L1
Pacsin1	PACSIN1
Camk2n1	CAMK2N1
Coq8b	COQ8B
Chrna5	CHRNA5
Rap2c	RAP2C
Tmem147	TMEM147
Gm14569	KIAA1210
Mir196a-2	MIR196A2
Nap1l2	NAP1L2
Plcxd3	PLCXD3
Zfyve21	ZFYVE21
Hadhb	HADHB
Qars	QARS1
Surf2	SURF2
Lhfpl2	LHFPL2
Ccdc112	CCDC112
Tmem17	TMEM17
Vma21	VMA21
Por	POR
Rwdd1	RWDD1
Gabrr2	GABRR2
Gpr50	GPR50
Prkce	PRKCE
Prdm6	PRDM6
Brf1	BRF1
M6pr	M6PR
Mrpl2	MRPL2
Paqr8	PAQR8
Mt2	MT1X
Efhd2	EFHD2
Capn13	CAPN13
Slc9b1	SLC9B1
Prap1	ZNF511-PRAP1
Icam1	ICAM1
Phkg2	PHKG2
Smim10l1	SMIM10L1
Tbca	TBCA
Rdh10	RDH10
Pcdhgb7	PCDHGB7
Cemip	CEMIP
Tgm4	TGM4
Cetn3	CETN3
Sult6b1	SULT6B1
Nfkbie	NFKBIE
Kifbp	KIFBP
Apobr	APOBR
Timm29	TIMM29
Atp6v1e2	ATP6V1E2
Pfdn6	PFDN6
Six3	SIX3
Gm22067	RNU6-687P
Phpt1	PHPT1
Pcdhgc3	PCDHGC3
Tulp1	TULP1
Pfkfb1	PFKFB1
Nod2	NOD2
Slc25a34	SLC25A34
Amigo3	AMIGO3
Lysmd3	LYSMD3
Mt4	MT4
Usb1	USB1
Pmpcb	PMPCB
Cdhr5	CDHR5
Nrap	NRAP
Ltf	LTF
Ubap1l	UBAP1L
Zfp612	ZNF23
Lrig3	LRIG3
Minar2	MINAR2
Pclo	PCLO
Lancl2	LANCL2
Scx	SCX
Mdfi	MDFI
Bcar1	BCAR1
Ndufb2	NDUFB2
Ulk4	ULK4
Sox5	SOX5
Ccdc91	CCDC91
Ccdc6	CCDC6
Eno2	ENO2
Laptm4b	LAPTM4B
Rrm2b	RRM2B
Pcdha6	PCDHA6
Tmie	TMIE
Bcdin3d	BCDIN3D
Rel	REL
Rrh	RRH
Prox2	PROX2
Ryr1	RYR1
Mef2a	MEF2A
Cyp21a1	CYP21A2
Ddx46	DDX46
Ulk3	ULK3
Mrto4	MRTO4
Mfsd3	MFSD3
Dtx2	DTX2
Selenoi	SELENOI
Ublcp1	UBLCP1
Tshz3	TSHZ3
Morc4	MORC4
Ass1	ASS1
Map2k2	MAP2K2
Adgrg4	ADGRG4
Slc39a8	SLC39A8
Ap1m2	AP1M2
Acp7	ACP7
Calb1	CALB1
Cul7	CUL7
Ahsa1	AHSA1
Vash1	VASH1
Dusp16	DUSP16
Prim1	PRIM1
Iapp	IAPP
Ak7	AK7
1810058I24Rik	STMP1
Bicd1	BICD1
Adm	ADM
Sh3tc2	SH3TC2
Exoc4	EXOC4
Nubp1	NUBP1
Thbs4	THBS4
Kbtbd13	KBTBD13
Kif7	KIF7
Fbxo3	FBXO3
Nde1	NDE1
Paqr3	PAQR3
Ddx28	DDX28
St6galnac6	ST6GALNAC6
Zfp629	ZNF629
Gpihbp1	GPIHBP1
Sash3	SASH3
Neurog3	NEUROG3
Slk	SLK
Ostm1	OSTM1
Fam162b	FAM162B
Cacul1	CACUL1
Mki67	MKI67
Fnip2	FNIP2
Olfm2	OLFM2
Rab10	RAB10
C2cd5	C2CD5
Cyb5r2	CYB5R2
Lactb	LACTB
Irak2	IRAK2
Lgi4	LGI4
Rnf41	RNF41
Nfkbid	NFKBID
S100z	S100Z
Serpina7	SERPINA7
Klhdc3	KLHDC3
Zfp82	ZFP82
Snora33	SNORA33
Tcf7l2	TCF7L2
Zg16	ZG16
Hspa4l	HSPA4L
Pdzd7	PDZD7
Zdhhc9	ZDHHC9
Frg1	FRG1
Uck1	UCK1
Gm25128	SNORD117
Tex36	TEX36
Gm26265	SNORA50A
